id,title,content,tags,sort_order,updated_at
ai-answer-review-rule,AI 回答人工审核原则,导游端修正 AI 回答时，应优先核对事实、来源和文化边界。适合写入知识库的是稳定事实、礼仪提醒、讲解方法和安全规则；个人判断、临时政策和未经确认故事不应直接沉淀。,AI协同|人工审核|知识库|导游端,62,2026-05-28 00:19:27
ashima-story-guide,阿诗玛传说的讲解方式,阿诗玛故事体现彝族撒尼人的审美、爱情叙事和地方身份记忆。讲解时可把传说与石林景观想象联系起来，但应说明它属于民间叙事，不等同于地质成因。面向学生团队时，可引导比较自然遗产与非物质文化遗产的不同表达。,彝族|阿诗玛|民间文学|石林,11,2026-05-28 00:19:27
bai-three-course-tea,白族三道茶礼俗,白族三道茶常概括为一苦、二甜、三回味，兼具待客礼仪、人生寓意和地方表演属性。导游讲解时应说明制作顺序、礼仪场景与文化寓意，避免把它简化为普通饮品或商业表演。面向国际游客时，可把三道茶解释为白族表达欢迎、分享生活哲学和社区记忆的一种方式。,白族|三道茶|礼仪|非遗,2,2026-05-28 00:19:27
banna-dai-culture,西双版纳与傣族文化,西双版纳与傣族文化关系紧密，泼水节、南传佛教寺院、竹楼建筑、热带雨林生态和傣味饮食共同构成游客理解当地文化的线索。进入寺院、拍照和参与节庆时，应提醒游客遵守当地规范。,西双版纳|傣族|泼水节|宗教礼仪,7,2026-05-28 00:19:27
baoshan-gaoligong,高黎贡山生态导览,高黎贡山讲解可从生物多样性、垂直气候带、生态保护和山地交通展开。导游应强调不采摘野生植物，不惊扰野生动物，徒步时遵守保护区和安全规定。,高黎贡山|生态|生物多样性|徒步,46,2026-05-28 00:19:27
chuxiong-dinosaur-valley,楚雄恐龙谷研学讲解,楚雄恐龙谷适合面向亲子和研学游客做地质古生物科普。讲解可从化石、地层、生命演化和科学保护展开。游客应遵守展馆秩序，不触摸展品，不把科普内容娱乐化。,楚雄|恐龙谷|研学|科普,34,2026-05-28 00:19:27
chuxiong-yi-torch,楚雄彝族火把节讲解,火把节是彝族重要节庆之一，包含祈福、歌舞、竞技和社区聚会等内容。游客参与时应遵守现场安全指引，理解火把象征意义，避免把节庆简化为夜间娱乐活动。,楚雄|彝族|火把节|节庆,33,2026-05-28 00:19:27
dai-temple-etiquette,傣族寺院参观礼仪,参观傣族地区佛寺时，应注意着装得体、降低音量、不随意触摸佛像和法器。若遇到宗教活动，应保持距离并听从现场人员指引。导游需要提前说明拍照边界，尤其避免对僧侣和仪式进行打扰式拍摄。,傣族|南传佛教|寺院|礼仪,8,2026-05-28 00:19:27
dali-ancient-city-overview,大理古城历史与讲解主线,大理古城位于苍山洱海之间，是南诏、大理国历史记忆与当代社区生活叠合的空间。讲解时可从城门、街巷格局、五华楼、白族民居照壁和茶马古道商业往来展开，强调古城不是单一景点，而是历史、民族文化与日常生活共同构成的文化场域。,大理古城|白族|历史|建筑,1,2026-05-28 00:19:27
dehong-dai-jingpo,德宏傣族景颇族文化导览,德宏讲解可围绕傣族、景颇族文化，边境贸易，多语环境和节庆活动展开。导游应提醒国际游客尊重边境管理要求，不进入未开放口岸或敏感区域拍摄。,德宏|傣族|景颇族|边境文旅,35,2026-05-28 00:19:27
dianchi-ecology,滇池生态与城市记忆,滇池讲解可围绕湖泊生态修复、候鸟观察、昆明城市发展和湿地教育展开。亲子游客适合加入观鸟、垃圾分类和水质保护等互动任务。讲解时应提醒游客不投喂候鸟，不进入封闭湿地保护区。,滇池|生态|湿地|亲子研学,14,2026-05-28 00:19:27
dongba-culture-boundary,东巴文化讲解边界,东巴文化与纳西族宗教、文字、仪式和民间知识有关。导游可介绍东巴文字的象形特点、文献价值和保护意义，但不应把宗教仪式娱乐化，也不应随意模仿仪式动作。遇到真实仪式或宗教空间，应提醒游客保持距离与尊重。,纳西族|东巴文化|宗教礼仪|禁忌,6,2026-05-28 00:19:27
dulongjiang-community,独龙江社区与生态保护,独龙江地区讲解应尊重当地社区生活和生态保护要求。导游可从山地交通改善、民族文化保护和自然环境脆弱性展开，不宜把地方文化猎奇化。游客拍摄前应征得同意。,独龙江|独龙族|生态保护|社区礼仪,39,2026-05-28 00:19:27
erhai-ecology,洱海生态保护与游览提醒,洱海是大理重要的生态与文化景观。讲解应兼顾湖泊保护、湿地恢复、骑行观景和村落生活边界。游客在环海游览时应避免进入未开放湿地、减少一次性塑料使用，不向湖中投喂或丢弃物品。,洱海|生态|大理|游客须知,4,2026-05-28 00:19:27
flower-cake-food,鲜花饼与云南花卉饮食,鲜花饼体验可联系云南花卉资源、城市伴手礼和饮食创新。导游应提醒游客关注保质期、过敏原和正规购买渠道，把美食讲解与地方产业和季节性联系起来。,鲜花饼|花卉|伴手礼|食品安全,58,2026-05-28 00:19:27
fuxian-lake-ecology,抚仙湖生态与游览提醒,抚仙湖以清澈水体和湖泊生态闻名。导游应提醒游客不在非开放区域下水，不乱丢垃圾，不破坏岸线植被。讲解可从水质保护、湖泊深度、环湖村落和亲水活动边界展开。,抚仙湖|生态保护|湖泊|游客须知,29,2026-05-28 00:19:27
green-lake-seagull,翠湖与红嘴鸥观赏礼仪,翠湖是昆明城市公共生活和季节性观鸟的重要空间。观赏红嘴鸥时应遵守现场管理，不追逐、不惊吓、不乱投喂。亲子游客可通过候鸟迁徙、城市湿地和公共空间礼仪理解生态保护。,翠湖|红嘴鸥|观鸟|生态礼仪,24,2026-05-28 00:19:27
hani-long-street-banquet,哈尼族长街宴体验说明,长街宴是哈尼族重要的社区性饮食与节庆表达。游客体验时应理解其共享、祝福和社区凝聚意义，注意听从组织安排，不随意占用村民席位，不浪费食物，也不把地方礼俗仅当作拍照背景。,哈尼族|长街宴|饮食文化|礼仪,13,2026-05-28 00:19:27
international-visitor-service,国际游客接待与跨文化沟通,面向南亚、东南亚游客时，导游应使用清晰慢速表达，避免只做字面翻译。可先确认游客背景、宗教饮食禁忌、旅行节奏和拍摄偏好，再调整讲解深度。遇到不确定文化事实，应回到知识库资料，不随意发挥。,国际游客|跨文化沟通|导游服务|多语种,20,2026-05-28 00:19:27
jianshui-ancient-town,建水古城与文庙讲解,建水古城适合从文庙、古井、老街、民居和地方教育传统展开讲解。导游应提示游客文庙是礼制与教育记忆空间，参观时保持安静，不攀爬栏杆，不触摸脆弱构件。,建水古城|文庙|古井|礼仪,26,2026-05-28 00:19:27
jianshui-purple-pottery,建水紫陶体验说明,建水紫陶可从泥料、拉坯、刻填、烧制和磨光等工艺环节讲解。游客体验时应尊重工坊规则，不随意触碰未完成作品。讲解重点宜放在工艺流程、审美特点和当代传承。,建水紫陶|非遗|工艺|体验,27,2026-05-28 00:19:27
jingmai-mountain-tea,景迈山茶文化景观讲解,景迈山茶文化景观适合从古茶林、村寨、茶叶生产、民族文化和生态保护展开。游客体验茶山时应尊重村寨生活，不擅入茶地，不破坏茶树和林下植被。,景迈山|古茶林|茶文化|生态保护,55,2026-05-28 00:19:27
jingpo-munao,景颇族目瑙纵歌体验说明,目瑙纵歌是景颇族重要节庆活动。讲解时可强调其社区凝聚、祖先记忆和集体舞蹈特点。游客参与需听从现场组织，尊重队形与仪式秩序，不随意闯入核心区域拍摄。,景颇族|目瑙纵歌|节庆|礼仪,36,2026-05-28 00:19:27
jinning-zhenghe,晋宁郑和文化讲解,昆明晋宁与郑和故里记忆相关。讲解时可从海上交流、云南与外部世界的联系、地方纪念空间等角度展开。遇到具体历史细节时应以可靠资料为准，不夸大地方传说。,晋宁|郑和|历史记忆|跨区域交流,25,2026-05-28 00:19:27
knowledge-source-boundary,知识库资料边界说明,知识库内容应用于文化讲解辅助，不替代官方公告、景区实时规定和专业学术结论。遇到门票、开放时间、交通管制、宗教仪式安排等变化信息，应以现场公告或官方渠道为准。,知识库|资料边界|可靠性|管理端,63,2026-05-28 00:19:27
kunming-city-overview,昆明城市导览主线,昆明适合从春城气候、滇池生态、老街商贸记忆、民族交流和现代城市生活几个角度展开讲解。导游可把昆明作为游客理解云南多民族、多生态带和交通枢纽的入口，避免只停留在气候舒适的单一印象。,昆明|春城|城市导览|云南入口,21,2026-05-28 00:19:27
kunming-old-street,昆明老街与城市记忆,昆明老街讲解可关注街巷尺度、商贸传统、近现代建筑和本地生活。游客在老街拍摄时应注意不影响店铺经营和居民通行，可把小吃、老字号和城市更新作为观察线索。,昆明老街|城市记忆|商贸|拍摄礼仪,22,2026-05-28 00:19:27
lacquerware-ethnic-craft,云南民族手工艺体验边界,民族手工艺体验可包含刺绣、银饰、陶器、漆器和编织等内容。导游应强调工艺劳动价值和知识产权意识，游客购买时关注正规渠道，不强行压价或拍摄核心工艺细节。,手工艺|非遗|购物礼仪|体验,56,2026-05-28 00:19:27
lijiang-old-town-naxi,丽江古城与纳西文化,丽江古城以水系、街巷、商贸历史和纳西族文化闻名。东巴文字、纳西古乐、民居空间与古城水网共同构成讲解重点。游客较多时，导游应兼顾文化解释、秩序提醒和社区生活边界，不把古城仅仅解释为商业街区。,丽江古城|纳西族|东巴文化|古城水系,5,2026-05-28 00:19:27
luoping-rapeseed,罗平油菜花与季节性旅游,罗平油菜花适合讲解农业景观、季节性旅游和摄影秩序。游客拍摄时不应踩踏作物，也应尊重村民生产活动。导游可提醒最佳观景点之外仍要注意交通、安全和农田边界。,罗平|油菜花|摄影|农田边界,30,2026-05-28 00:19:27
manting-park,曼听公园与傣王文化记忆,曼听公园可从傣族园林、地方王室记忆、佛教文化和夜间演艺秩序展开讲解。导游应提醒游客区分文化展示与真实宗教空间，参与活动时遵守现场规则。,曼听公园|傣族|园林|文化展示,51,2026-05-28 00:19:27
meili-snow-mountain,梅里雪山观景礼仪,梅里雪山是高原自然景观和地方信仰空间。游客观景时应注意高原反应、保暖和环保，不随意丢弃经幡、哈达等物品。讲解应尊重当地信仰，不把神山仅作为摄影背景。,梅里雪山|高原|藏族文化|观景礼仪,40,2026-05-28 00:19:27
mojiang-hani-culture,墨江哈尼文化与北回归线,墨江讲解可结合哈尼族文化、北回归线地理认知和地方节庆活动。导游可用地理知识作为轻松入口，再转入民族文化和县城生活，不宜只停留在打卡式讲解。,墨江|哈尼族|北回归线|地理科普,53,2026-05-28 00:19:27
mosuo-walking-marriage,泸沽湖摩梭文化讲解边界,泸沽湖摩梭文化常被外界过度猎奇化。讲解走婚习俗时，应避免低俗化和单一化表达，强调亲属制度、家庭结构、湖泊生态和社区生活的整体背景。游客拍摄与访问村落前应征得同意。,泸沽湖|摩梭文化|礼仪|讲解边界,17,2026-05-28 00:19:27
multilingual-explanation-principles,多语种讲解的基本原则,多语种讲解不是逐字翻译，而是根据信息密度、游客背景和文化差异重组表达。导游应使用短句、先结论后例子、避免生僻典故，并对宗教、禁忌和历史争议保持克制。,多语种|讲解方法|跨文化|导游训练,61,2026-05-28 00:19:27
nujiang-lisu-canyon,怒江峡谷与傈僳族文化,怒江峡谷导览可结合高山峡谷地貌、傈僳族文化、桥梁交通和生态保护。山地道路游览需强调安全距离、天气变化和村寨生活边界，不建议游客擅自进入危险区域。,怒江|傈僳族|峡谷|生态安全,38,2026-05-28 00:19:27
nuodeng-village,诺邓古村与盐业记忆,诺邓古村讲解可围绕盐井历史、山地村落、传统建筑和火腿饮食展开。游客进入村落应注意坡道安全，不擅入民居院落，不把传统村落只当作摄影背景。,诺邓|盐业|传统村落|火腿,45,2026-05-28 00:19:27
puer-national-park,普洱国家公园生态体验,普洱国家公园类生态体验适合讲解森林生态、野生动物保护、茶文化周边资源和低影响游览。游客应遵守步道，不投喂动物，不采摘植物，理解自然教育价值。,普洱|国家公园|生态体验|自然教育,52,2026-05-28 00:19:27
puer-tea-culture,普洱茶文化与游客体验,普洱茶讲解可从茶树资源、制作工艺、仓储转化、茶马古道和饮茶礼仪展开。游客体验制茶或品茶时，应强调适量饮用、尊重茶席礼仪和识别过度商业化推销。,普洱茶|茶文化|茶马古道|体验,16,2026-05-28 00:19:27
puzhehei-karst-wetland,普者黑喀斯特湿地导览,普者黑可从喀斯特峰丛、湖泊湿地、村寨生活和季节性荷花景观展开讲解。游客乘船和拍照时要遵守安全要求，不进入保护区域，不把湿地只当作娱乐水域。,普者黑|湿地|喀斯特|生态,31,2026-05-28 00:19:27
rice-noodle-culture,云南米线饮食文化,云南米线可从过桥米线、小锅米线和地方早餐文化讲起。讲解时可提醒游客高温汤底、口味差异和配料选择，兼顾饮食文化与食品安全。,米线|饮食文化|云南美食|服务,59,2026-05-28 00:19:27
ruili-border-tourism,瑞丽边境旅游服务提醒,瑞丽边境旅游可讲解跨境贸易、多民族交流和口岸城市特征。导游应明确边境管理要求，提醒游客证件、拍摄、购物和交通安全，避免传播未经确认的跨境信息。,瑞丽|边境旅游|口岸|安全,37,2026-05-28 00:19:27
shangri-la-tibetan-etiquette,香格里拉藏族文化与寺院礼仪,香格里拉讲解可围绕高原生态、藏族聚落、松赞林寺和转经礼仪展开。进入寺院时应保持安静，按现场要求拍照，不触碰法器与壁画。高原地区还需提醒游客关注身体状态和保暖。,香格里拉|藏族|寺院礼仪|高原,18,2026-05-28 00:19:27
shaxi-ancient-town,沙溪古镇与茶马古道记忆,沙溪古镇可从古戏台、寺登街、马帮驿站和茶马古道交流讲解。导游应提醒游客古镇仍有居民生活，不把安静街巷变成喧闹打卡点，可引导慢行观察建筑细节。,沙溪古镇|茶马古道|马帮|古镇,42,2026-05-28 00:19:27
silver-ornament-culture,民族银饰与服饰纹样讲解,民族银饰和服饰纹样常承载身份、审美和节庆意义。导游应避免把服饰简单当作拍照道具，介绍时可说明场景、年龄、节庆和地区差异，同时尊重个人肖像权。,银饰|服饰纹样|民族文化|肖像权,57,2026-05-28 00:19:27
stone-forest-karst,石林地貌与彝族传说,石林是典型喀斯特地貌景观，也与当地彝族撒尼人文化和阿诗玛传说相互关联。导览应先说明石灰岩长期溶蚀形成石林的过程，再引入民族故事，区分科学解释与民间叙事。,石林|彝族|阿诗玛|地质,10,2026-05-28 00:19:27
tengchong-heshun,和顺古镇与侨乡文化,和顺古镇适合讲解侨乡历史、书香传统、火山地热背景和边地交流。游客参观宗祠、图书馆和民居空间时应保持安静，尊重当地社区生活。,和顺古镇|侨乡|腾冲|社区礼仪,47,2026-05-28 00:19:27
tiger-leaping-gorge,虎跳峡徒步安全与地貌讲解,虎跳峡适合结合峡谷地貌、金沙江水势、徒步安全和山地生态讲解。游客应根据体力选择路线，遵守步道提示，不靠近危险崖边拍照，雨季尤其注意落石和道路情况。,虎跳峡|徒步|地貌|安全,41,2026-05-28 00:19:27
tuanshan-village,团山民居与传统村落保护,团山村讲解可关注滇南民居、家族院落、雕刻装饰和传统村落保护。游客进入村落应降低音量，尊重居民生活，不擅自进入未开放院落。导游可说明保护和旅游利用之间的平衡。,团山村|传统村落|民居|保护,28,2026-05-28 00:19:27
volcano-geothermal-safety,火山地热景观安全提醒,云南火山地热类景观讲解应兼顾科普和安全。游客在热泉、喷气孔、火山步道附近应遵守围栏与警示，不触碰高温水汽，不为拍照进入危险区域。,火山|地热|安全|地质科普,48,2026-05-28 00:19:27
water-splashing-festival,泼水节体验与文明参与,泼水节是傣族重要节庆，包含祈福、浴佛、放高升、歌舞和泼水祝福等内容。游客参与时应理解泼水的祝福含义，避免向老人、儿童、设备和不愿参与者强行泼水，也不应把节庆简单理解为狂欢娱乐。,泼水节|傣族|节庆|游客须知,9,2026-05-28 00:19:27
weishan-ancient-city,巍山古城与南诏记忆,巍山古城适合讲解南诏历史记忆、古城格局、小吃文化和地方生活。导游可把巍山与大理古城区分开，突出县城生活肌理和慢游节奏，避免只做简单景点罗列。,巍山|南诏|古城|地方生活,43,2026-05-28 00:19:27
weishan-snack-culture,巍山小吃与饮食体验,巍山饮食体验可从粑肉饵丝、地方小吃、街巷摊点和饮食节奏讲起。导游应询问游客口味和过敏情况，提醒适量品尝，尊重本地店铺排队和用餐秩序。,巍山|小吃|饮食文化|服务,44,2026-05-28 00:19:27
wenshan-zhuang-miao,文山壮族苗族文化讲解,文山地区可从壮族、苗族等民族文化、坡芽歌书、服饰纹样和山地生活展开讲解。导游应避免把民族文化简单标签化，尽量结合当代生活和保护传承说明。,文山|壮族|苗族|民族文化,32,2026-05-28 00:19:27
wild-elephant-valley,野象谷观察礼仪,野象谷导览应强调野生动物保护和安全距离。游客不可投喂、呼喊或用闪光灯刺激动物。讲解可说明亚洲象活动范围、栖息地保护和人象和谐的重要性。,野象谷|亚洲象|生态保护|动物观察,50,2026-05-28 00:19:27
wild-mushroom-safety,野生菌饮食安全强化说明,云南野生菌季节性强，游客常感兴趣。导游必须提醒只在正规餐馆食用充分烹饪的菌类，不自行采摘，不混食不明菌种。若出现不适应立即就医，不用民间偏方处理。,野生菌|食品安全|游客提醒|季节,60,2026-05-28 00:19:27
xishuangbanna-rainforest,热带雨林生态讲解,西双版纳热带雨林讲解可从板根、绞杀、附生植物、昆虫和生态多样性展开。游客在雨林步道中应跟随路线，不采摘植物，不喧哗惊扰动物，并注意防滑和蚊虫防护。,西双版纳|热带雨林|生态|步道安全,49,2026-05-28 00:19:27
xizhou-bai-architecture,喜洲白族民居与照壁,喜洲白族民居常见三坊一照壁、四合五天井等院落格局。照壁既有采光、防风和空间组织作用，也承载家族审美、题字和吉祥纹样，是讲解白族建筑与日常生活关系的关键切入点。讲解时可提醒游客尊重仍在居住的社区空间。,喜洲|白族民居|照壁|建筑,3,2026-05-28 00:19:27
yuanyang-hani-terraces,元阳梯田与哈尼族农耕系统,元阳梯田体现森林、村寨、水系与农田共生的地方智慧。适合用研学方式解释人与自然的关系。讲解时应提醒游客尊重农事活动和村寨生活边界，不进入未开放田埂，不干扰农户劳作。,元阳梯田|哈尼族|农耕|生态,12,2026-05-28 00:19:27
yunnan-food-allergy,云南饮食体验与过敏提醒,云南饮食体验包含菌子、米线、傣味、乳扇、鲜花饼等。导游应提前询问游客是否有菌类、乳制品、坚果、辣椒或香料过敏，提醒野生菌必须经过正规餐馆充分烹饪，不建议游客自行采食。,饮食文化|食品安全|游客服务|云南美食,19,2026-05-28 00:19:27
yunnan-minzu-village,云南民族村讲解方式,云南民族村适合作为初次了解云南多民族文化的窗口。讲解时应说明它是集中展示空间，并不等同于所有民族的真实日常生活。导游可引导游客把表演、建筑展示和真实社区文化区分开来。,云南民族村|民族文化|展示空间|讲解边界,23,2026-05-28 00:19:27
yunnan-photo-etiquette,民族文化场景拍摄礼仪,在民族村寨、宗教场所和节庆活动中拍摄前，应先征得同意，避免近距离打扰儿童、老人和宗教仪式。导游应把拍摄建议与尊重当地生活边界一起说明，必要时给游客提供可拍摄区域与不可拍摄内容的清单。,拍摄礼仪|民族文化|游客须知|禁忌,15,2026-05-28 00:19:27
yuxi-nie-er,玉溪聂耳文化与城市导览,玉溪城市导览可结合聂耳文化记忆、抚仙湖周边生态和本地生活方式。讲解时应把人物纪念、城市公共空间和音乐文化联系起来，避免单一纪念馆式叙述。,玉溪|聂耳|城市导览|音乐文化,54,2026-05-28 00:19:27
