route_key,name,match_terms,mode,reason,nodes,sort_order,updated_at
banna-festival,西双版纳傣族节庆与寺院路线,民族文化|节庆活动|饮食体验|宗教礼仪|东南亚游客团,AI 多语导览 + 现场礼仪提醒,适合关注泼水节、南传佛教和热带雨林生活方式的游客。,傣族园：泼水节礼俗|佛寺参观点：南传佛教礼仪|竹楼聚落：气候与建筑|夜市街区：傣味饮食体验|雨林步道：生态边界与安全,3,2026-05-28 00:19:27
dali-culture,大理白族文化记忆路线,民族文化|建筑历史|非遗体验|深度文化游客,AI 基础讲解 + 真人导游深度补充,适合希望理解建筑、礼俗和地方生活关系的游客。,大理古城南门：城市格局与历史入口|五华楼：地方政权与建筑记忆|白族民居院落：照壁与生活方式|喜洲古镇：白族商业与家族记忆|洱海生态廊道：湖泊保护与村落边界,1,2026-05-28 00:19:27
dehong-border-culture,德宏傣族景颇族边境文化路线,民族文化|节庆活动|东南亚游客团|宗教礼仪,边境服务提醒 + 民族文化讲解,适合了解多民族社区和口岸城市特征的游客。,芒市街区：多民族城市生活|傣族寺院：参观礼仪|景颇文化展示点：目瑙纵歌背景|瑞丽口岸周边：边境旅游安全,12,2026-05-28 00:19:27
dianchi-family,滇池湿地亲子生态路线,亲子游客|自然风光|生态研学|第一次来云南,AI 自助讲解 + 生态观察任务,适合轻量游览、观鸟和城市生态教育。,海埂湿地：湖泊生态修复|观鸟点：候鸟与季节|城市眺望点：昆明与滇池关系|亲子任务点：垃圾分类与水质保护,6,2026-05-28 00:19:27
food-culture-route,云南美食与食品安全体验路线,饮食体验|美食体验游客|第一次来云南|国际游客,饮食文化讲解 + 过敏安全提醒,适合用轻松方式理解云南多样食材和地方生活。,米线早餐店：地方日常饮食|菌子餐馆：野生菌安全说明|鲜花饼工坊：花卉伴手礼|茶席体验：普洱茶礼仪,17,2026-05-28 00:19:27
gaoligong-tengchong,腾冲高黎贡山生态与火山地热路线,自然风光|生态研学|银发游客|摄影爱好者,地质科普 + 生态保护提醒,适合把火山地热、侨乡文化和生物多样性放在一起理解。,高黎贡山观察点：垂直气候与生物多样性|火山地质公园：地貌科普|热海景区：高温地热安全|和顺古镇：侨乡文化与社区生活,16,2026-05-28 00:19:27
jianshui-culture-craft,建水文庙紫陶与古城慢游路线,建筑历史|非遗体验|深度文化游客|美食体验游客,古城讲解 + 手工艺体验,适合关注滇南古城、地方教育传统和手工艺的游客。,建水文庙：礼制与教育记忆|古井街巷：生活用水与社区空间|紫陶工坊：工艺流程与体验边界|团山村：传统村落保护,10,2026-05-28 00:19:27
kunming-city-ecology,昆明城市生态与老街路线,第一次来云南|亲子游客|生态研学|建筑历史,城市导览 + 生态观察任务,适合把昆明作为云南文化入口的轻量路线。,翠湖：红嘴鸥与公共空间礼仪|昆明老街：商贸记忆与城市更新|滇池海埂：湖泊生态修复|云南民族村：展示空间与真实社区的区别,9,2026-05-28 00:19:27
lijiang-naxi,丽江纳西文化与水系路线,民族文化|建筑历史|深度文化游客|宗教礼仪,AI 导览 + 图谱延伸讲解,适合关注古城空间、东巴文化和社区生活边界的游客。,四方街：商贸节点与游客秩序|古城水系：街巷、桥梁与生活用水|木府周边：地方治理记忆|东巴文化展示点：文字与仪式边界,2,2026-05-28 00:19:27
lugu-lake-mosuo,泸沽湖摩梭文化与湖泊生态路线,民族文化|自然风光|摄影爱好者|深度文化游客,湖泊生态讲解 + 文化边界提醒,适合希望理解摩梭文化又避免猎奇化表达的游客。,湖岸观景点：湖泊生态与摄影秩序|摩梭文化展示点：亲属制度讲解边界|村落慢行：访问与拍摄同意|夜间活动提醒：安全与噪音边界,15,2026-05-28 00:19:27
multilingual-service-route,国际游客跨文化服务示范路线,东南亚游客团|国际游客|民族文化|宗教礼仪,多语讲解 + 导游协同审核,适合演示 AI 回答、导游修正和知识库回流闭环。,游客端提问：多语种和文化背景识别|AI 回答：先检索再生成|导游端修正：事实核对与语气优化|管理端审核：沉淀到知识库和图谱,18,2026-05-28 00:19:27
nujiang-canyon-ecology,怒江峡谷生态与傈僳族文化路线,自然风光|生态研学|深度文化游客|摄影爱好者,山地安全提醒 + 社区文化讲解,适合关注峡谷地貌、民族文化和生态保护的游客。,峡谷观景点：高山峡谷地貌|桥梁节点：交通与生活联系|傈僳族村寨：社区礼仪|生态步道：山地安全与保护,13,2026-05-28 00:19:27
puer-tea,普洱茶文化与茶马古道路线,饮食体验|非遗体验|深度文化游客|民族文化,茶文化讲解 + 品饮礼仪提醒,适合把茶叶、交通贸易和跨区域文化交流放在一起理解。,茶园观察：茶树与生态|制茶体验：杀青揉捻与晒青|茶席品饮：礼仪与风味|茶马古道节点：贸易与文化交流,7,2026-05-28 00:19:27
puzhehei-wetland-photo,普者黑湿地摄影与村寨路线,自然风光|摄影爱好者|生态研学|亲子游客,湿地生态讲解 + 摄影秩序提醒,适合在喀斯特湿地中理解自然景观和社区生活边界。,湖区栈道：湿地生态观察|峰丛观景点：喀斯特景观拍摄|村寨慢行：生活空间边界|荷花季观景点：季节性旅游秩序,11,2026-05-28 00:19:27
shangri-la-etiquette,香格里拉高原文化与寺院礼仪路线,宗教礼仪|自然风光|深度文化游客|银发游客,高原安全提醒 + 文化讲解,适合关注藏族文化、寺院礼仪和高原生态的游客。,松赞林寺：寺院参观礼仪|高原草甸：生态观察|藏族聚落：建筑与生活|休息点：高原身体状态观察,8,2026-05-28 00:19:27
shaxi-weishan-road,沙溪巍山茶马古道与南诏记忆路线,建筑历史|民族文化|饮食体验|深度文化游客,茶马古道叙事 + 古城慢游,适合把大理周边古镇串联为深度文化游。,沙溪寺登街：马帮驿站记忆|古戏台：公共生活与表演空间|巍山古城：南诏历史记忆|巍山小吃街：饮食体验与服务礼仪,14,2026-05-28 00:19:27
stone-forest-study,石林地貌与阿诗玛研学路线,自然风光|民族文化|高校研学团|生态研学,地质科普 + 民间叙事对照讲解,适合把自然遗产、科学解释和彝族撒尼人叙事放在一起理解。,大石林：喀斯特地貌形成|阿诗玛景点：民间故事与地方身份|观景台：景观摄影与秩序提醒|研学讨论点：科学解释和民间叙事的区别,4,2026-05-28 00:19:27
yuanyang-photo,元阳梯田日出摄影与哈尼农耕路线,自然风光|摄影爱好者|生态研学|高校研学团,摄影节奏规划 + 村寨礼仪提醒,根据光线、观景点和农事活动安排慢行路线。,多依树日出：水面反光|爱春蓝梯田：色彩构图|哈尼村寨：农耕系统与生活边界|森林水源点：生态系统讲解,5,2026-05-28 00:19:27
